simnum,ntimes,family,var,ests,lower,upper
8,4,crude,rmpfst,0.5067735432689905,0.4719843675516432,0.5415627189863378
8,4,crude,time2prog_gprog,0.4517076811128095,0.4191212783321739,0.48429408389344514
8,4,crude,time2prog_all,0.7280470098319533,0.6904166637410135,0.765677355922893
8,4,crude,illnessdur,0.3077101830806892,0.2683852292167193,0.3470351369446591
9,4,crude,pfs,0.076,0.04919164066173633,0.11564139731040064
9,4,crude,prog,0.532,0.47013118515223484,0.5929002836800568
9,4,crude,die_wprog,0.352,0.2954446480491309,0.41303480860152053
9,4,crude,die_noprog,0.392,0.33355543730026077,0.4537133553907552
9,4,crude,rmpfst,0.4850939701057615,0.4496222491334453,0.5205656910780777
9,4,crude,time2prog_gprog,0.45142841173598547,0.4143972663305177,0.4884595571414532
9,4,crude,time2prog_all,0.7301027785741045,0.6915320187547294,0.7686735383934797
9,4,crude,illnessdur,0.2806269671466373,0.2412671413496961,0.31998679294357857
10,4,crude,pfs,0.084,0.055596038766644665,0.1249948664135652
10,4,crude,prog,0.576,0.5140449538388132,0.6356547846378791
10,4,crude,die_wprog,0.372,0.31444644874453964,0.4334276759262941
10,4,crude,die_noprog,0.34,0.28409658843703767,0.40074606740150454
10,4,crude,rmpfst,0.4882905786087934,0.4530256158755636,0.5235555413420231
10,4,crude,time2prog_gprog,0.4422907692931284,0.4083819671240352,0.4761995714622216
10,4,crude,time2prog_all,0.7099912000324264,0.6712112357940179,0.748771164270835
10,4,crude,illnessdur,0.2877843490846941,0.2503454436510053,0.32522325451838285
11,4,crude,pfs,0.08,0.052382328372331775,0.12032964320384165
11,4,crude,prog,0.548,0.48604464273690806,0.6085025605115294
11,4,crude,die_wprog,0.364,0.30683266748143884,0.425283589981322
11,4,crude,die_noprog,0.372,0.31444644874453964,0.4334276759262941
11,4,crude,rmpfst,0.4825003274428344,0.44692767375400466,0.5180729811316641
11,4,crude,time2prog_gprog,0.44124298077127644,0.40342095830713043,0.47906500323542245
11,4,crude,time2prog_all,0.7183864623087229,0.6788557381686469,0.757917186448799
11,4,crude,illnessdur,0.28491905618448593,0.24336060206528706,0.32647751030368477
12,4,crude,pfs,0.06,0.0366944108391085,0.0966228927168827
12,4,crude,prog,0.572,0.5100329758142415,0.6317878290584144
12,4,crude,die_wprog,0.376,0.31825978130242794,0.4374932769724422
12,4,crude,die_noprog,0.368,0.3106374013678842,0.42935778969891303
12,4,crude,rmpfst,0.46453279720904733,0.4295490669006007,0.499516527517494
12,4,crude,time2prog_gprog,0.44605914931643414,0.41137209286935555,0.48074620576351274
12,4,crude,time2prog_all,0.7119507576445454,0.6731918391702877,0.7507096761188031
12,4,crude,illnessdur,0.248495522214519,0.21125712932519639,0.2857339151038416
13,4,crude,pfs,0.088,0.05883135595378163,0.12963848283046467
13,4,crude,prog,0.544,0.48206040323620214,0.6046078664081989
13,4,crude,die_wprog,0.336,0.28032294705210725,0.39664077518239854
13,4,crude,die_noprog,0.368,0.3106374013678842,0.42935778969891303
13,4,crude,rmpfst,0.5052654042586241,0.46873145380535736,0.5417993547118909
13,4,crude,time2prog_gprog,0.4484912243977685,0.41096338950314676,0.48601905929239025
13,4,crude,time2prog_all,0.7308637175061109,0.6920928164490132,0.7696346185632086
13,4,crude,illnessdur,0.29322586694905184,0.2497217079433041,0.3367300259547996
14,4,crude,pfs,0.056,0.03364764921901089,0.09179072073294389
14,4,crude,prog,0.592,0.5301331548047548,0.6510823180880834
14,4,crude,die_wprog,0.348,0.29165747573175427,0.40894304731486075
14,4,crude,die_noprog,0.352,0.2954446480491309,0.41303480860152053
14,4,crude,rmpfst,0.4966531829399822,0.46108812373234614,0.5322182421476181
